127.0.0.1 - - [08/May/2023:09:47:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/May/2023:09:47:07 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [08/May/2023:09:47:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:21 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:21 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:21 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:21 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:25 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:25 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:25 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:26 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:26 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:26 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:50 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [08/May/2023:09:50:50 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:35 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:35 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:36 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:36 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:36 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:36 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:36 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:37 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:38 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:38 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:38 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:41 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:42 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:42 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:42 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:52:42 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
